event_type,items,segments,passages,qa_failures,collapsed,word_total,duration_total,word_k,word_q,word_ann,word_unk,duration_k,duration_q,duration_ann,duration_unk,word_pct_k,duration_pct_k,word_pct_q,duration_pct_q,word_pct_ann,duration_pct_ann,word_pct_unk,duration_pct_unk
CV,2,581,585,0,0,14858,8148.58,9740,113,375,0,5549.559000000005,68.64683333333335,225.039,0.0,65.55391035132588,68.1046145463382,0.7605330461704133,0.8424392143580028,2.5238928523354422,2.761695902844422,0.0,0.0
D,113,16712,18059,0,0,761209,536667.8300000001,634859,118123,7957,0,455353.90557997057,74205.26100336257,6927.989999999999,0.0,83.4014048704101,84.84836990880756,15.517814424159463,13.827037294812799,1.0453108147696624,1.2909270153196992,0.0,0.0
DCO,2,469,487,0,0,14257,8959.790000000005,11428,1339,0,0,7726.003899517151,636.1674437229443,0.0,0.0,80.15711580276356,86.22974310242927,9.391877674124991,7.100249489362406,0.0,0.0,0.0,0.0
DS,31,8781,8859,0,0,187227,115051.04899999997,142462,2624,199,0,93926.6680674603,1761.0471428571423,174.82,0.0,76.09052113210167,81.63912357501437,1.4015072612390307,1.5306658723790887,0.10628808879061247,0.15194994006530096,0.0,0.0
DSG,44,16536,16678,1,1,363108,214592.66399999993,227025,62713,8469,0,145933.32156003633,31584.17291367049,6769.009000000002,0.0,62.52272051290525,68.0048044699405,17.271170010024566,14.718197875427139,2.3323639247827095,3.154352471247574,0.0,0.0
DSS,88,13352,14694,0,0,607160,416099.7559999999,503394,82074,17855,0,354732.37360278587,44636.37912556887,15012.939999999993,0.0,82.90961196389749,85.25176198439922,13.517688912313064,10.727326436011868,2.9407404967389157,3.608014612726665,0.0,0.0
DT,49,17395,17709,0,0,464157,270410.044,307874,42648,527,0,202026.89864798394,19518.153625122362,395.238,0.0,66.32971171392438,74.71131458711051,9.188270348179604,7.217983968495772,0.11353916885881286,0.1461624702076525,0.0,0.0
DTV,1,153,153,0,0,4125,2626.6999999999994,2427,38,0,0,1603.3912987012986,35.389999999999986,0.0,0.0,58.836363636363636,61.04204129521069,0.9212121212121213,1.347317927437469,0.0,0.0,0.0,0.0
DYP,11,1802,1895,0,0,71835,51225.749,54219,12290,5326,0,38203.07578264791,7840.572217352086,5182.101,0.0,75.47713510127375,74.57787641650278,17.108651771420618,15.305920109342054,7.414213127305631,10.116203474155155,0.0,0.0
FCC,1,1,1,0,1,6402,4537.6,0,0,6402,0,0.0,0.0,4537.6,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
FCLW,1,83,87,0,0,3654,2447.7199999999984,2859,0,130,0,2113.1369523809512,0.0,62.39000000000001,0.0,78.24302134646962,86.33082837828479,0.0,0.0,3.557744937055282,2.54890265226415,0.0,0.0
